Country,ISO3,Indicator,Unit,Source,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Sub-Region,Income Group,Area (KM²),Density (KM²)
French Guiana,HXV,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.4166345702135099,2.8547196380901445,-1.0895649242361731,-1.1317135475537936,2.9263950214891388,2.721315976356361,2.8549559171648218,1.5889598270006728,1.7973797299938372,1.1293649513693103,0.08856246501080811,0.5970141673855318,2.3649943964205153,1.8388782473497267,1.525876245313087,2.3949411017559274,1.0140835203356482,2.8188297404578524,2.5113640660208096,0.5385501011000762,2.182316220540754,2.382326746872284,-1.427860377842776,-1.6122930133406947,0.44699952927077735,2.544360124373232,2.776847546573487,2.7887883082141034,-0.6912362000683341,2.284831764368022,1.408757989031228,1.7821120997225268,1.731583531842357,0.5697430970972315,0.23148639512005076,-1.7242575097971495,0.37005384523348006,2.251905739360554,-1.7818055456868773,0.21637352293759404,2.1854233328274573,2.442759550976457,0.02058495095691537,1.927459398114514,1.9624479892627602,1.0765628051300147,0.5072991721292914,-1.7156076286634196,1.6146479730526666,-0.9687791693788759,1.1390077471157363,2.2493949256007353,0.8468076856442464,-0.22773830860031974,-0.5348149060114524,-0.5128668610425196,-0.710528980978161,2.586790295486681,0.41318083895047053,-1.7922473499795626,2.770299583545323,-1.1134476009751504,Sub-Saharan Africa,Upper middle income,6971994.0,12
Lebanon,LWF,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.6737206238340585,1.532582160522575,-0.8993064583540522,-0.8906926480168953,1.1276024851529738,-0.2542753548184984,-1.1621427325153215,2.549625608130886,1.905372359717294,1.332420494386188,0.6808174900489297,0.22511194037245286,-0.13936473985402698,0.31797352106603194,-1.7077737699895994,-0.05648448525064609,-1.8068607824096303,1.8881875092839642,1.6611797534585415,-0.7410531450951323,2.3253693595637674,1.6240427518995788,2.946209357974019,-1.6245417979559318,2.5328626129554372,1.235022844604745,2.5655015601457336,2.8191626200168463,-1.6917328712015782,1.4591397372712192,-0.401889820961443,0.0542520106668567,0.9096659161839167,-0.7951001743753214,-1.567003749311852,1.2889875720821005,2.1437861396409197,1.8247802061900287,1.8673630053031003,-0.31813868989282,2.465081196642732,0.9334258026671858,-1.4545025086121774,1.3401635817798598,1.216700707697036,0.05962136266585194,-1.5753190147127292,1.3502765782985824,0.26815585646312057,1.8805132522958892,-0.13129757848297663,-1.4929802192097112,-1.1928920355309052,0.2746115298835452,-1.6767861083351754,-0.20896528410601833,1.2790081682155225,2.178499999119156,1.4761424456937897,0.004432193376306071,1.6724754688709234,-0.36674422186665057,Sub-Saharan Africa,Upper middle income,14722261.0,484
Solomon Islands,SAV,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.0605914032231083,0.9924141859015698,0.41673055421183314,-1.1889592912686808,0.8133592965617336,1.9281093580460524,-0.9892706344789146,2.8277255607257805,-1.3766081157205554,2.0828395253602974,2.3772862898892155,-1.8526452223143464,1.1961997692717725,0.9265118582768013,-0.13978131123513915,1.8624069135116623,0.9089121607272128,0.9203027142550848,-0.055156784722392604,-1.7847885271518198,-0.8367102859468942,2.6239703849763725,0.2552104748737607,0.45190048868282595,1.0074166269507856,0.8156609487484614,-1.389489656359085,2.79932670514342,2.090086438635689,2.70617800205802,0.9708508272896572,0.20040096017643405,2.9539690887320136,-1.3314630612451426,-0.7722481079412247,0.6176160441900787,0.13000043241970127,-0.010561463412205097,-0.10894672519867976,-0.8674825386275629,2.593530131332895,-0.6995086923975089,1.3106736775157182,0.25792043502524864,0.8611674697824618,-0.0701926008598579,2.5492723171116776,1.5317771014716337,0.20257247550699908,0.255777659421188,-0.43301876229807945,0.7802310201135096,1.9363556991604396,2.9532448899552914,-0.4623111337185626,1.4478579598426027,-1.8981278131769534,0.9665949933542684,1.87054751529715,2.909130356714347,2.6355623111268516,0.634996770075289,Latin America & Caribbean,Low income,14691638.0,1
Spain,QHA,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.4683719661586485,0.4507593134999017,-0.5064145147249148,-1.0882422461669643,1.9814446009900255,0.7678356458973341,1.5812219992149439,-1.7190830242593567,-1.7497531647016378,-0.24576114384564507,1.6535894004240084,-0.50866652209746,1.2210625267461284,0.8390065491252239,2.22126900363532,1.8980924532756895,1.9605020608838881,2.5682437913171645,-1.642809906512027,2.179723373353906,-0.641410563573293,0.9853569293705617,0.6382493514736605,-1.7030271422468277,1.3452303807859565,0.5382535667695603,2.329493669627875,2.381364733998513,1.9454464579849557,-0.32512471702545276,-1.310081949207718,-1.4537010502895784,1.4623934938911876,-1.7040201666493213,2.9404364393295968,2.566692352799512,2.9751313742489094,1.3745592552369708,-0.5867969776275965,2.8842514828472563,-1.7600378700680075,2.745060992434869,-1.5186453751552846,-0.08294711517195896,1.3835173355812245,0.8791024947895401,1.8295126887349369,1.3013494523141929,-0.9292762068345595,-0.48531731599916617,0.15756480062859923,-1.2016164837052494,2.4990540770356686,0.677472703628605,-0.5021415997453094,-0.5351006820457642,1.4534943799735056,-0.44586985591477113,0.5952756488549622,-0.14000000183953354,-1.2995496698146924,0.31931025804568103,Latin America & Caribbean,Upper middle income,8607123.0,293
Comoros,XLL,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,1.573865562620071,1.2137351363766529,2.951241031204045,2.493332997793158,1.7110788224909337,2.5008156385801064,-0.12778832390846073,-0.41658534161553495,0.835061209511359,-1.5432364850612794,2.108394242390043,-1.7186792028036333,-1.730435057811767,1.2972946037360895,2.111880823993263,1.161512137849889,-1.8601395127779512,-0.3938034423151775,2.368003666763453,2.01514220742209,1.9154812654370148,-1.9891336705724143,-0.556553307657639,-1.983161839620479,2.8547433154467763,1.5718723787564564,-0.6670532748879476,2.4756191683439788,0.040100734762524404,-1.8283111987968064,-0.013137656821403443,-0.34460380922074973,-1.81036929458045,2.5396087902842623,0.45680707316735525,2.58588876735162,2.827227073074626,1.1109385626462647,0.6137374601947276,1.6362029926472377,1.0112267303446578,-1.2983385778408372,-1.3581417632437158,0.5195971785375355,2.666151001056485,-0.5898591337793662,1.327736238558761,1.3683449229887499,-1.9722784724063867,2.56366134756167,2.151199053778357,2.0947885625461478,-1.359085214852227,2.5210321063926573,-1.7741100709984514,-0.39524722717602256,-0.9095175955883472,0.9688476359849858,-1.8932660485778257,1.8402466161564548,0.25757656131589446,2.5978074966202884,North America,Low income,14448597.0,144
Reunion,UDX,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.35013421138817336,2.519229205057556,1.3763439381952374,2.7358348606169294,2.7423069630146584,0.2731770650573466,2.526954271196047,-0.996859880526813,-0.6696749443672227,-0.6332269684644674,-0.3300935710525188,-0.848500161845005,-1.4164252773464523,-1.794478689930195,-0.2966822531490543,-0.8648561631807525,0.0321198495455306,1.5874227467709643,1.664668802420445,-1.8134190687515876,0.47051911616393216,0.4793010294699833,-0.4328622264449904,-1.711078276960673,-0.7934184308363843,-0.4188497756104097,0.2918428934696946,1.2598488531416283,1.2197055376033124,-0.03601780031710122,0.08176598540864966,1.5478266902421667,-1.84966094684588,2.048258715159344,0.8953457746504507,1.038434372263914,1.3573518840973433,2.303630083033431,-1.147878814890077,1.2272899948543565,1.96219374542956,2.761459041132076,-0.17187505623599275,1.7570673886764459,0.011155607445819893,2.8387939284178003,2.3628792993240086,-0.2862947537488507,-1.9408200683443415,-1.8647265845541332,1.264479922206816,-0.10133537137831716,-1.9796449431174357,0.34976695993311413,0.11121483582344771,-0.7193500852399874,-1.2222000037795338,0.004186590674319923,2.726899859759736,1.7477511922910205,0.5026641685842774,-0.28241967655744027,Europe & Central Asia,Upper middle income,6454957.0,397
Zambia,AFG,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.0507792412664405,2.23135366407862,-0.42837069191985533,2.3809815283348996,0.44426015013128417,-1.966924621511325,2.5470152642460944,0.21499373456927318,2.6478503945396525,-0.8938198457383766,-0.15866691895108342,-1.4246790107501237,1.5600914172919529,0.19755298162331902,-0.1688666302088686,-1.3509620443976682,-1.949960439762845,2.4908652321303446,2.214056388773341,2.5955207786191075,2.0913446871308192,2.5716445706088162,1.4358911679025383,-0.8473458480531812,-0.736368785714899,-1.1731966097529105,2.72445162369218,0.11252908934755057,1.1214996016266405,1.6861742138647573,-0.6648180282079696,-1.4505381258500643,2.1054292108024395,1.799833516477185,0.5178115714961455,2.204271782635682,0.61917088990455,1.2584172498886677,0.15801399915454262,2.5473195555293557,1.7187735226594194,1.638865444763995,1.8413348760859547,-0.9122886131289554,2.218725048711595,-0.9456922581881726,0.38126456952449983,0.5782191291111527,1.8968646448500488,-0.6707012298109964,-0.2774050795688592,0.4365298466510792,1.9476671232489235,-0.5661947106203973,0.30455064707343293,0.4235087134135136,-0.1400050054208528,1.1351024920200126,2.1206532872962107,-1.5293215543577232,1.5036916076810658,2.0934444415721796,Middle East & North Africa,High income,12839998.0,332
Madagascar,MQL,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.8125448036143337,1.5551779379261599,0.4172334205472179,-1.5460433970397973,-0.9696133515899001,2.446541834387256,0.6497292536905519,-0.7315780454871073,0.025607711537760203,-0.5701340257965752,-0.9455601238061011,2.461277414998741,2.0033737071319564,1.6469420462072097,2.4929187448286108,-1.3300485494828544,1.8594221209765345,0.6010413669855015,-1.3752519318195282,2.8945122582371505,1.0347054964664562,-0.4635927739037342,1.9989362020118908,0.27683049506610846,0.4698855112569582,-0.791186440319686,2.6911920317480975,2.621565467823493,-1.6067698184916988,-1.50227371693015,-1.6194662267484476,2.8828626433923406,0.6052063771443357,2.0834690883686013,-0.4637610662184293,0.6565117234059636,0.5548228681926792,-0.9985470711004456,2.6234967805668266,0.8595456493417126,-0.35229242632732016,1.6474936543181706,-0.10105707199890901,1.3353798833071746,-1.7752962686394307,-1.8617744042439215,0.9252483621190333,0.06853281897560848,0.41194380187204516,2.531599632221491,-1.7708033858248755,1.985449168219552,-1.7437151843454899,0.28331521018275385,-0.027041413941653047,-1.046560621896974,-1.2227804390762942,0.22215536839774463,1.221501890474963,2.8014158781540734,2.1504949835029556,-1.3005840140349911,North America,Lower middle income,14602794.0,164
Burkina Faso,IJI,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.808718684984962,-0.8814649176559919,-1.0431474575287418,1.6879341250365143,-1.5659791275117971,2.1270698580008407,-0.31683630303907795,2.08378146101661,-1.5251583781463667,-1.2684613577296693,0.8901628482159669,1.1254406322718942,2.8352707941307136,0.028045023126917812,1.1441945024443765,2.882996238345979,-0.0056373296744332,0.46490772986438245,-1.4137553797297984,-0.31341696445340217,2.028408453247396,2.111774280226702,1.6916287371148981,2.149005541580836,0.2943275823263942,0.5191236543243005,-0.2747845168716083,0.13025181480387849,-1.816634052403555,0.1781117518038311,-0.3381141812171877,2.7998338749899565,2.751353105591937,0.35992570943340363,-0.3958168169840075,-0.8105574061800163,-1.675547382323471,-1.4089797934963322,-1.6807268542035234,2.497836151893141,-1.7844237779891623,2.5731585870392424,-0.3917557234229685,0.10535937071050583,-0.7527771765568048,2.898039934561181,0.9289917632689777,1.4794805233882413,2.200592763121115,2.6525541816887133,-0.5946488373461531,0.7706578998788367,0.7757351711036788,0.4914028160082724,-0.7842831593179593,0.5594291423829683,-1.5571858059591952,-0.15337006554206978,-0.4305567798671439,-0.7115121051503586,2.9166139679142997,0.34873142735590257,Latin America & Caribbean,Low income,12255238.0,362
Paraguay,FRU,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.12667666534709499,-0.11950462924379446,-0.3196543703550663,-0.5785071880805579,2.8446766499151153,0.1424603103393256,-0.013978244467296452,0.2698763301401699,1.359811360711281,1.7433331136156949,1.1019909351243236,0.0928049563111144,1.5718111182876369,2.2126910507916513,0.9034425255135772,2.1738744727583077,1.7536729201831864,0.7784410039589389,-1.2012125512449323,-0.8106578561141218,-0.934745670825377,-1.1625348117076726,0.3073476389936811,1.8731543850173544,-1.1377171949336256,-0.15430304161328712,0.5564858924018989,-0.40219757228501907,2.5298856735504947,1.3340569904367339,2.699974341624734,0.3017647869374951,-0.9949326904259297,-0.06512047707122992,-1.5224265364297433,-1.0312250113565262,2.1756623165109117,1.4576028355722221,1.3617586607275096,2.7637549120357585,-0.03161733453106219,0.009450625311167027,0.2823330432277973,2.1731986950077964,0.4536448136185749,1.9695907596796443,0.24489082555743247,-0.9342277128526626,-0.00020576276568684548,-0.599444953224082,2.844366369766714,0.2357419876840252,-0.36829139992464377,2.5234427941763746,1.2737410448958708,-1.9572325354591595,2.623305727506721,-0.45132935415630904,0.2532717580250461,1.25994291901696,-1.402876260336301,2.29505986303381,South Asia,Lower middle income,9029054.0,234
Netherlands,UDP,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.435076873082327,0.7546916717263015,1.0181711705415486,-0.09839394096225584,1.1620607338737687,0.17345618540296748,1.2027260151130372,0.5202620123134585,-0.027492765086073234,-0.4446072842194746,-0.9190180441723537,1.2776066518799798,2.5725306385212443,-0.32673120695266444,0.6491579772435578,-1.079826249709545,-1.5363970677959125,2.5481127604883964,0.18085130151064188,0.62796381666704,-0.872323274499812,0.3206143625299709,-1.5113592312079698,0.9203352621506373,2.798993391446734,-0.3261350323995609,-1.2413665769337712,2.5497735117934655,0.12836560762658067,-1.6312133288497122,-1.7749397405366578,-1.8298078362869705,1.773894815222664,-0.431386263895827,1.6117142418038561,-1.1751457608266462,-1.6176205184594488,0.4965203623723604,-0.7512222177558052,1.694915898380708,2.6255074593460064,-1.9004517609578273,-1.5103273537290822,2.1785601421140033,1.3656068951789786,-1.8231489302990767,2.248179193295843,0.7710962169486937,2.178544245096301,0.2842706122209542,1.852941520408184,1.817987450579289,0.4405148907348275,-0.587365714623953,2.749494700344444,-1.5261316945140422,-0.6894675029662949,2.4220033283265483,1.8318276384237961,2.0923892694326662,1.0984559468790547,-1.1439953656657513,South Asia,High income,6559884.0,482
Palau,ZAN,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,1.3628783744348207,0.3000057818426689,0.43333657012773674,-1.5650850883369336,0.25826099285554704,-0.9638694233139753,0.2351732496184522,-0.978121622993368,2.880468226029521,0.3167672359688418,-1.893762212671657,-1.930853740308504,-0.8377616209544196,-0.5563066471930727,-0.43771948798116456,1.533874555595664,-0.8229580610824447,-0.5830055384004571,-0.8524470413573071,-0.660874799051953,0.5548864483240812,-1.5517421698447547,0.8536429644664016,2.4613750498717417,-0.9003592817428494,1.231968554342843,-1.3631163727786264,0.23832973586775408,0.846058145032802,-0.9329910271675121,1.1693523804956403,-1.0904926497284984,1.2064134948606764,-0.5327513348824957,-1.8529060612775594,1.344293101410404,1.3208583872195288,-0.6373350089865593,1.7633659818383727,2.8740533200866896,1.6613498570470555,-1.683654179312119,1.5760117863023662,0.9013016162905862,-1.7077699368299526,2.9123162315420936,-1.4127277847170088,1.3876927859758679,1.9030043343272562,1.459302569676184,-1.3102583412348312,-1.1475383162223434,0.966932081594849,2.178921231265215,-0.43586500159905617,-0.08228153601760768,-0.26653514228899544,2.342199990547794,-1.235757674421493,0.18715220053772175,-1.9824937418463762,-1.9000439248557308,Middle East & North Africa,Low income,9052588.0,336
Rwanda,AIP,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.19468007069897064,2.6408127924639704,-1.3505124656309473,-1.1017955338378682,1.485494506920348,2.6828903078697444,2.2405444674643427,1.8773067999706523,2.0724635516715493,1.8778030758328663,-1.308328970625066,-0.29608042803355916,-1.6838309974146486,-0.4054566926342349,1.7132532021790654,-0.9749301575641083,0.5482053588093816,2.8853977251280742,1.374358647002694,-1.9931490000575902,0.10524785123966485,-0.6413514437707861,2.7302749136097066,0.17058438872122572,1.2784983185834982,-1.1844053982792313,-0.1328306387062903,1.1675846624807131,2.422009821691378,1.863991437336364,0.06553276517498663,1.4021510496955862,1.7640690189798889,0.6252894866109839,-1.4628018026329286,0.5541593334014685,1.8599975451056325,0.7839864350757919,0.25753214782616407,2.6299445390264475,2.648420061733301,1.957734301594325,-0.6831219798653381,-0.9707382955764303,1.4801270693328608,1.185013959484881,0.3842678315575121,-0.38485150974889004,1.5119592071040717,2.934619720088672,1.5928433296240385,0.23492918004455898,0.9080473709238404,-0.8307752852207666,0.39425613258787306,0.2150308643341674,-0.1873096943165229,2.120639467733514,1.4334949715060574,0.5665960458090553,1.0539107103568104,2.0317822353463164,Middle East & North Africa,High income,11453950.0,472
Mauritius,BWF,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,2.541111160739878,2.377278139913397,-1.6332176359474608,2.782180025589585,-0.8396284489595367,2.772739858974754,2.531239716384266,2.0571361111280666,-0.4602757406366096,2.812290637442876,-0.6512028324598926,0.1489125125793489,0.1551615496337222,2.977356413074581,-1.921192047003618,-1.551155977557022,0.821685280893584,-1.485549704148234,-0.07532702157830462,2.9677408013812654,-1.7462464488625544,0.19619504835075752,0.6248044091785898,-1.4252528188377527,2.088644996814798,-1.5566449091286387,1.4788126229610494,-0.19536144991111937,0.14303319354435695,-0.8784222954864245,2.551010526209989,1.3042800981766591,2.2584809323277053,0.9228744605938766,2.476428825919294,2.7609027254611505,1.2267179296768438,1.021101686475709,0.5227304489019007,0.158241381021746,0.5247188580428599,-0.5637578106143057,1.548647354891524,-0.013203796345271357,1.727372514596325,0.878751894428432,-0.043302671339247034,-0.2076469574115396,-0.9380363084918897,-0.8330608871484202,-1.9531320426959007,-1.4350343392528497,0.6235554870664961,-0.6494283015201079,-1.131440760306645,-1.8936515233646198,0.49476382516662554,-0.41643804871952605,-0.5775829380678665,2.305624212709813,-0.829139806662289,-0.5117324925522231,Middle East & North Africa,Lower middle income,10520859.0,62
Ghana,VVW,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,0.7598503434868182,1.0126497323689905,-0.05258084693368392,0.17554497833105254,0.7313509776490323,-1.6604798303890234,-1.8429844498156909,0.4371583392855607,1.90291269465148,0.7125389017524886,-1.0591333822360987,-1.5275302261674404,1.0725878418631742,2.567281227954897,-0.1876357597585825,-0.2437591235103258,-0.19357425880777468,2.766100421010898,0.5721774706203036,0.18369358112387602,-0.2748516699977248,-1.2989594591682667,2.4211009815065196,0.6081091043380638,0.7104542692879385,1.526911569865507,1.8490564648300136,1.638584187442527,0.1437700032713214,-1.5041822830570577,1.7015992989384299,2.836715981853091,1.378844235130508,0.8509707546520726,0.3977144767334351,2.4699046589257394,1.9343445368411927,2.59294968996317,0.5524165387309994,0.8082169911079884,2.516827812236354,0.6952554081505422,1.9024833821732976,0.00436899205989727,1.8733592429023629,-1.011826854286411,0.5161151535311626,-0.24240444064397737,2.078015018145474,0.09986140445067626,0.3744215027611726,1.0915357488063626,0.5996361673141903,0.9519961059034774,1.1245050837505022,1.455599544994178,-1.3627582610545868,0.4352981570944392,1.1894713502082874,0.15052067480687237,-0.5020663575765665,1.0733685001007154,Latin America & Caribbean,Low income,12908558.0,326
Bouvet Island (Bouvetoya),JJK,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.623622488816153,-0.4588621678739717,-0.5991725006844599,-0.6985252669284603,2.97003895059078,-1.0641577510740723,-0.5446217941822922,2.655426338751181,1.8623640417480583,1.7206115459131133,0.8906858301641214,1.365117609640333,2.824541384374891,2.3682746038258626,-1.2873738092331832,-1.4946051234435802,-1.6425310185857653,1.8809187762886492,-1.3863200984564084,1.9620878533778612,-0.14694203023698593,2.6781617827306023,1.1679483328383689,0.2113260889117421,0.3611207199720772,1.1228619089020166,-1.381502291899448,-0.839414844787038,0.9094375313398633,-1.3677156478389134,0.09836729349303086,0.5937363537267544,-0.0541071605773058,-0.625430362981998,1.9731625938494601,-0.6840704033423655,-1.4792916870230033,-0.2215938381591036,1.3528457790576138,-1.2729851733514268,1.1395730110356856,0.5444054868201134,-0.9996789859186643,0.7922062057457095,1.3960122704026134,2.385743310627002,0.9972031138650164,1.1977952135953274,2.6525838840979707,-1.5731662670650435,-0.317673843871634,-1.4397234331953483,1.3028593269206503,2.1700987780594296,-1.6909513446259528,-1.9512295739807848,-1.5055856805371286,2.150002762004287,-0.6217810970289022,1.947616900781623,-0.5142559774462061,1.2960433523709298,Middle East & North Africa,Lower middle income,12008274.0,57
China,SMN,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.5603817452709818,2.284377282089305,-1.0453654562801518,2.395094020642823,-1.4460979208637297,-0.5128880224060737,-1.4629891600804177,1.0384937014937892,-1.4005511866997753,-1.6742112879651243,-1.5005456305876894,-1.7384264034147923,-1.3813040450234726,2.8527168148276036,0.921911303706568,0.6887713188380333,1.8835957747157295,0.7245097854851572,-0.019744691077271836,0.3975665693835464,-1.3788113529759076,1.9380258691474417,0.8090901468181304,-1.8286480333092707,1.4347322832141285,2.287245012273968,2.9448411664071186,-0.6117495349245092,-1.8693342128770718,-1.3643109530088142,0.5247171816210385,2.037409915519711,0.5824830300733552,0.7555824217442684,-1.9594523452072237,-0.8122411394299398,1.7342577787136308,-0.9006036333520027,1.4940510096731043,-0.626420772523054,0.1437366040457979,-0.6309481779860802,-1.5270882388827944,-1.5283255101499682,0.07947282975591241,-0.020208573740681857,-1.3434813726810106,2.332554246821573,0.6354210124612587,0.17203896046155132,0.6938793577288038,-1.9229967778508177,2.773661898418224,2.0056672774480564,2.8630500375930774,1.2368666994397066,1.0532195414854275,1.3656632549834797,2.549645901429953,-0.03949609754399708,-1.977539167428477,0.41444872541602473,East Asia & Pacific,High income,11919204.0,486
Cyprus,SRC,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,1.4863927358987077,-1.7295049409246948,-1.2990059560359022,0.8023426475473028,1.3128644956673812,2.007464453721542,0.5627785048794625,-1.8120175262951492,-0.3999839709006281,-1.601387441285224,2.6792404150692697,1.7592569598296839,0.18600896799946653,2.97141503478134,-1.183527874505129,-0.19068834891432518,0.21380592061715786,0.5830389653923547,2.3707458012906617,0.4378397540986385,-0.10937063686316861,-1.098515853622886,2.8439432741028163,1.7413062537969695,0.9551795974269619,2.705912670320026,-1.7295650525147797,0.13006413408439332,-0.9995023842344564,1.7359840617820788,1.505307161968168,-1.5840918025102058,1.5913884033633918,-1.229262134299795,0.7438609558620639,1.2409735135579485,-0.1003440141139822,1.3856380539508484,-1.5082705883000562,2.326801943631801,-0.43441117841720156,2.2311820508336835,-0.12734164464382847,2.125293183122041,-1.6632524441661234,1.4012317847783473,2.3014137285618874,1.8143267737674433,-1.2583879633490085,-1.956008127220724,1.9007234604711045,0.7837497698901847,0.7194612742726294,-1.41291604946909,2.9641915260374194,2.401075114328175,2.9959968138421953,1.9456222977683018,0.7069242360359529,0.18382104110680686,0.10385899545510169,1.8592047136152816,East Asia & Pacific,Low income,5072435.0,212
Moldova,OKY,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.5726482998365645,-1.8491292136589992,-0.24820027815737644,1.2483368087207727,-0.28150247405912143,-0.30112375534751257,-1.8111508641256018,-0.3564684565557763,-1.051087003862031,-0.4726434798906807,-0.4366481066315835,-1.4379378180182705,-1.085113197991116,2.5521448994316733,0.299690290247157,2.2413284105606825,0.8071674224312941,1.6604495801698937,1.7524904299883914,2.361084916822115,-1.1997656866640671,-1.4070612754369198,-0.8920067501669369,1.1314511376238348,1.452804081014405,0.45724270059478656,-1.5558413333759225,-1.215929339100708,0.1317282136629494,0.8166892877797141,1.755316318012639,0.9140440267261365,2.423432665753529,2.9230167702135716,0.860830904318294,0.4566847261833762,0.7277543029802933,2.5157185888164424,0.21772730144602193,-1.8544161024160348,1.7325409719484477,1.5709291449065987,1.8652423527841266,1.1839101939478844,2.7371801709052574,-1.9879725480425767,-0.3724464300814656,2.360684962546401,0.40409061176972516,1.390930327765754,-1.6181380925337607,2.9421493426406826,0.5862061830440397,2.257126469567936,0.3842687334840633,-1.2894650015708229,-1.7482096330961177,2.149632250067797,-1.1903481571947165,0.2421550543387574,-0.6977800670790095,-0.554951832677173,Latin America & Caribbean,Low income,1510599.0,479
Holy See (Vatican City State),OPH,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-1.7959092474839777,-0.25504895373388003,2.7226447507419955,-1.301055456349483,2.1996493390625265,-1.4686431890685963,-1.8321923882123836,0.7352099052012036,2.95362427996322,0.880332233827402,1.3986459844897539,1.9894503693015708,2.292980344395759,0.4412697484247845,1.7035080541179055,0.2054493805831772,1.2640402349185234,-0.3814705186486349,0.612103503872214,0.5429472335571757,0.8648807910755862,0.9372536011264252,2.664758674131871,-0.7205231458063537,-1.6842619997814023,-0.7696871567897232,1.8583008922988293,-1.4870555882780754,-1.803244815015744,-0.0820349410196457,1.4669381521967861,0.4601303504074421,2.9785980978821325,0.4810211523622523,1.3363522922923279,1.7576620954842133,-0.0010078492237131087,2.0828259661865136,1.3503098864050203,-0.4787386376685503,2.7877533965485117,0.49198576670023364,2.0691442483197795,1.699880883591335,0.9673981654041008,1.147137897218753,2.143556727225689,-1.855710551748786,0.8838687402122867,-0.16742207009275356,-0.6531014303942784,-0.7432930143202174,2.038942096676874,1.1360412891867941,-1.7520930186515602,2.481073552270159,1.5555724374509374,-1.8590548615061835,-1.8245074406673587,-1.8782739265217678,2.380616713321917,0.5407060031786792,South Asia,Lower middle income,2459654.0,305
Italy,NBB,Temperature change with respect to a baseline (°C),Degree Celsius,Generated data,-0.9982609788939509,2.1395494801227546,-0.4026064400910516,0.9404084567325328,0.9012737482158868,0.393542618485625,-1.3496168054571605,2.510562981205535,1.720507188025452,-1.8058155242349232,0.23185058138561,1.48392622856665,2.304082414139682,-0.6997840937944977,-1.7966774960831167,-0.7200182144977811,-0.9944782406695749,1.4806596411427506,-1.32437594142691,-0.9225516598904231,-1.9030428750137185,-1.9427039109864253,2.045959222152539,1.230804822821924,2.7167907404334457,-1.270776638051577,0.5237133102022331,-1.679557907612042,-1.2847527659696376,-1.4832314369943183,1.1517665552062724,0.6263717150059591,1.3759185761869204,1.2182304415676848,2.604417821379502,-1.8822610721026454,-0.47823061355290575,-1.5108138107998634,2.9019213691708527,0.5654468058227642,-1.985711380693179,-1.9861878354174594,2.0691684989574615,1.6989400740206468,0.4362368786634936,2.4133932734707866,0.34522035414886165,2.5569402155133876,-1.735507069752341,1.3707674849312474,0.22730045635686746,-0.2730158948781296,2.7381662367660677,2.6259628018439143,1.6963736479014604,1.2795601260458973,2.0641334884912315,2.834977853232271,-0.15418706618596278,-0.0045422901446694475,1.7949064207653955,-0.9313803414409727,Europe & Central Asia,Upper middle income,8078186.0,155
